"title","author","publication_year","genre","synopsis"
"Pequeno Larousse, Ilustrado. 1990","Pierre Larousse","1918","Encyclopedia and dictionaries, Spanish","Obra de Pierre Larousse, publicada en 1918."
"Boletín de instrucción pública ...","Mexico. Secretaría de Instrucción Pública y Bellas Artes","1911","Education","Obra de Mexico. Secretaría de Instrucción Pública y Bellas Artes, publicada en 1911."
"Periodical Title and Abbreviation by Abbreviation","Leland G. Alkire","2006","Reference","Volume 1 is a comprehensive dictionary with more than 230,000 entries. It covers periodicals from a wide variety of subjects, including: science, social sciences, humanities, law, medicine, religion,…"
"Boletin","Academia Nacional de Ciencias en Córdoba","1929","Ficción","Obra de Academia Nacional de Ciencias en Córdoba, publicada en 1929."
"Trabajos del Museo nacional de ciencias naturales","Museo Nacional de Ciencias Naturales (Spain)","1917","Natural history","Obra de Museo Nacional de Ciencias Naturales (Spain), publicada en 1917."
"Index to Latin American Periodical Literature","Columbus Memorial Library","1966","Latin America","Obra de Columbus Memorial Library, publicada en 1966."
"CD-ROM Periodical Index","Pat Ensor","1992","Computers","Obra de Pat Ensor, publicada en 1992."
"Gray Herbarium Index; Harvard University","Gray Herbarium","1968","Botany","A reproduction of a card index, prepared 1894-1903 by Josephine A. Clark at the U.S. Department of Agriculture Library and (since 1903) by the Gray Herbarium. The set reproduces about 265,000 cards p…"
"La Gaceta","Honduras","1957","Law","Obra de Honduras, publicada en 1957."
"Акты Генеральной Конференции","Unesco. General Conference","1991","Intellectual cooperation","Records for the 2d- sess. issued in two sections: v. 1, Proceedings and v. 2, Resolutions."
"Actes de la Conférence Générale, Vingt-sixième Session: Proceedings","Unesco. General Conference","1991","Ficción","Obra de Unesco. General Conference, publicada en 1991."
"Enseñar ciencia","Maria Arcà","1990","Education","¿Cómo plantear una educación científica donde no existe (como en la escuela infantil y la elemental) o donde se da por descontada (como en la educación básica)? Vivimos una época en la que cada vez s…"
"Primer diccionario general etimológico de la lengua española","Roque Barcia","1902","Spanish language","Obra de Roque Barcia, publicada en 1902."
"Ciencia Hoy Nð 124","Ciencia Hoy","2009","Ficción","Obra de Ciencia Hoy, publicada en 2009."
"Cien preguntas básicas sobre la ciencia","Isaac Asimov","2010","Science","Este volumen recoge las respuestas dadas por Isaac Asimov a las preguntas formuladas por los lectores de la revista norteamericana Science Digest. ¿Qué hay más allá del universo?, ¿qué es un agujero…"
"Ciencia Hoy Nð 122","Ciencia Hoy","2009","Ficción","Obra de Ciencia Hoy, publicada en 2009."
"Ciencia, razón y fe","Mariano Artigas","2011","Education","Obra de Mariano Artigas, publicada en 2011."
"Conflicto y diálogo entre ciencia y religión","Agustín Udías Vallina","1993","Ficción","Ciencia y tecnología ejercen hoy una tremenda influencia tanto en la vida del hombre como en su visión del universo y de sí mismo. El hombre se dirige a las ciencias siempre que busca una respuesta a…"
"Study Abroad 2006-2007","Unesco","2006","Education","Study Abroad 2006-2007 contains some 2,900 entries concerning post-secondary education and training in all academic and professional fields in countries throughout the world. Key features include inf…"
"Electromagnetismo","Eliezer Braun","1998","Electromagnetismo","Pierre-Nol Giraud seala el fenmeno de la desigualdad como punto fundamental en los estudios econmicos. El examen de la doble dimensin -espacial y social- del problema ayuda a Giraud a establecer los…"
"Ciencia Hoy Nð 73","Ciencia Hoy","2005","Ficción","Obra de Ciencia Hoy, publicada en 2005."
"Ciencia Hoy Nð 78","Ciencia Hoy","2005","Ficción","Obra de Ciencia Hoy, publicada en 2005."
"El mundo de Max","Javier Fernández Panadero","2016","Science","""Este libro está escrito para ti, curioso de cualquier edad."" Esta es una de las primeras líneas de El mundo de Max. La ciencia para todos. Vive con Max sus aventuras y descubrirás a través de sus oj…"
"El mundo y sus demonios","Carl Sagan","1997","Literacy","Obra de Carl Sagan, publicada en 1997."
"Tecnociencia y cibercultura","Stanley Aronowitz","1998","Language Arts & Disciplines","Recoge: El estudio cultural de la ciencia y la tecnología; Del estudio social de la ciencia a los estudios culturales; Mundo, clima y guerra; Los mercados y el futuro del trabajo; Bioética; Visualiza…"
"Dictionary Catalog of the Department Library","United States. Department of the Interior. Library","1967","Library catalogs","Obra de United States. Department of the Interior. Library, publicada en 1967."
"La política de las hadas","Luis Javier Plata Rosas","2026","Science","Desde que, transportada por el tornado de la inter-, multi- y transdisciplinariedad, la psicología política del desarrollo aterrizó en el quizás-no-tan maravilloso País de Oz, los cuentos de hadas ya…"
"Dictionary Catalog of the National Agricultural Library, 1862-1965","National Agricultural Library (U.S.)","1967","Technology & Engineering","Obra de National Agricultural Library (U.S.), publicada en 1967."
"Sistema español de ciencia y tecnología","España Comisión Interministerial de Ciencia y Tecnología","1989","Ficción","Obra de España Comisión Interministerial de Ciencia y Tecnología, publicada en 1989."
"Semblanza Histórica de la Filosofia del Derecho ""Lecciones Propedéuticas""","Juan Pablo Rosales Esser","2012","Ficción","Obra de Juan Pablo Rosales Esser, publicada en 2012."
"Bibliografía filosófica hispánica (1901-1970)","Gonzalo Díaz Díaz","1982","Language Arts & Disciplines","Obra de Gonzalo Díaz Díaz, publicada en 1982."
"Obras completas. Tomo I (1902/1915)","José Ortega y Gasset","2020","Philosophy","Primer tomo de los diez que reúnen las Obras completas de José Ortega y Gasset, la mayor compilación de los textos del filósofo presentada hasta la fecha. Los primeros seis tomos de estas Obras compl…"
"Introducción a la filosofía analítica","Ernst Tugendhat","2022","Philosophy","«Hasta la década de 1980, la filosofía analítica del lenguaje no tenía un prestigio especial en la Europa continental. Se la consideraba como buena herramienta de la lógica y la teoría de la ciencia…"
"¿Qué es filosofía?","Edith Stein","2002","Philosophy","«En este escrito, en el que se figura un diálogo entre Tomás de Aquino y Edmund Husserl, asistimos a la primera manifestación del acercamiento de la fenomenóloga a la filosofía de Tomás de Aquino, a…"
"Bibliografía pedagógica de obras escritas en castellano ó traducidas á este idioma","Rufino Blanco y Sánchez","1912","Education","Obra de Rufino Blanco y Sánchez, publicada en 1912."
"Filosofía cristiana en el pensamiento católico de los siglos XIX y XX/1","Emerich Coreth","1993","Philosophy","Esta obra en tres tomos trata por primera vez de un modo global a todos aquellos pensadores y escuelas de pensamiento que han filosofado en los dos últimos siglos a la luz de la fe católica. En este…"
"Las consolaciones de la filosofía","Alain de Botton","2013","Philosophy","¿Cómo podemos conseguir que la filosofía forme parte de nuestra vida cotidiana? Alain de Botton demuestra que ésta es una inagotable fuente de consuelo, capaz de inspirarnos y motivarnos a diario. En…"
"Introducción a la Filosofía","Martin Heidegger","2024","Philosophy","Nueva traducción de de la obra temprana de Heidegger ""Introducción a la filosofía"" (título alemán ""Einleitung in Die Philosophie""), publicada originalmente en 1919. Esta edición contiene un nuevo epí…"
"Filosofia Y Letras","Universidad Nacional Autonoma de Mexico","1941","Ficción","Obra de Universidad Nacional Autonoma de Mexico, publicada en 1941."
"Sexo y Filosofía","Carlos Fernández Liria","2020","Philosophy","Combinar divulgación con rigor nunca es tarea fácil en filosofía; la historia de la filosofía es materia harto inexpugnable, campo abonado a pedanterías e incluso academicismos. Pero es posible acerc…"
"Memoria acerca del estado de la enseñanza en la Universidad","Universidad de La Habana","1929","Education, Higher","Obra de Universidad de La Habana, publicada en 1929."
"a dissertation presented to the faculty of the graduate school university of minnesota","dorothy sutor rundorff","1962","Ficción","Obra de dorothy sutor rundorff, publicada en 1962."
"D. Juan Valera and Nineteenth Century Currents of Thought Reflected in Las Ilusiones Del Doctor Faustino","Dorothy Eileen Sutor Rundorff","1962","Ficción","Obra de Dorothy Eileen Sutor Rundorff, publicada en 1962."
"Páginas literarias","Juan Bautista Alberdi","1920","Argentina","Obra de Juan Bautista Alberdi, publicada en 1920."
"Dictionary Catalog of the University Library, 1919-1962","University of California, Los Angeles. Library","1963","Library catalogs","Obra de University of California, Los Angeles. Library, publicada en 1963."
"Obras completas","Jaime Luciano Balmes","1925","Ficción","Obra de Jaime Luciano Balmes, publicada en 1925."
"Hipótesis (1924-1927)","Samuel Ramos","1928","Philosophy, Modern","Obra de Samuel Ramos, publicada en 1928."
"Revista argentina de ciencias políticas","Rodolfo Rivarola","1914","Political science","Obra de Rodolfo Rivarola, publicada en 1914."
"Anales de la Universidad de Chile","Universidad de Chile","1915","Chile","Obra de Universidad de Chile, publicada en 1915."
"De California a Harvard","Enrique Molina","1921","Universities and colleges","Obra de Enrique Molina, publicada en 1921."
"Historia crítica de los sistemas filosóficos","Matías Nieto Serrano","1898","Ficción","Obra de Matías Nieto Serrano, publicada en 1898."
"Proceedings of the American Catholic Philosophical Association","American Catholic Philosophical Association","1979","Catholic Church and philosophy","Includes a list of members."
"El sistema científico luliano: Ars magna","Salvador Bové","1908","Ficción","Obra de Salvador Bové, publicada en 1908."
"Le Dantec, biologo y filosofo","José Ingenieros","1928","Ficción","Obra de José Ingenieros, publicada en 1928."
"Historia política y parlamentaria de D. Nicolás Salmerón y Alonso","Antonio Llopis y Pérez","1915","Spain","Obra de Antonio Llopis y Pérez, publicada en 1915."
"Obras selectas","Juan Bautista Alberdi","1920","Argentina","Obra de Juan Bautista Alberdi, publicada en 1920."
"List of Books Accessioned and Periodicals Indexed for the Month of ...","Columbus Memorial Library","1951","Latin America","Obra de Columbus Memorial Library, publicada en 1951."
"Latin American Series","Library of Congress","1948","Latin America","Obra de Library of Congress, publicada en 1948."
"A Guide to the Official Publications of the Other American Republics: 8-19","Library of Congress","1948","Government publications","Obra de Library of Congress, publicada en 1948."
"Library of Congress Name Headings with References","Library of Congress","1978","Corporate headings (Cataloging)","Obra de Library of Congress, publicada en 1978."
"El maestro José Manuel Estrada","Rodolfo Rivarola","1913","Ficción","Obra de Rodolfo Rivarola, publicada en 1913."
"Estudios, disertaciones y ensayos filosófico-literarios","Saturnino Milego e Inglada","1880","Philosophy","Obra de Saturnino Milego e Inglada, publicada en 1880."
"Revista de Aragon","Eduardo Ibarra y Rodríguez","1902","Art","Obra de Eduardo Ibarra y Rodríguez, publicada en 1902."
"Revista de derecho internacional","Antonio Sánchez de Bustamante y Sirvén","1922","International law","Obra de Antonio Sánchez de Bustamante y Sirvén, publicada en 1922."
"Obras de Don Juan Donoso Cortés","Juan Francisco Donoso Cortés","1908","Ficción","Obra de Juan Francisco Donoso Cortés, publicada en 1908."
"Enciclopedia juridica española ...","Victor Pedret y Torres","1915","Law","Obra de Victor Pedret y Torres, publicada en 1915."
"Revista del Colegio de Abogados de Buenos Aires","Colegio de Abogados de Buenos Aires","1928","Law","Obra de Colegio de Abogados de Buenos Aires, publicada en 1928."
"La historia de la humanidad","François Laurent","1880","Church and state","Obra de François Laurent, publicada en 1880."
"Estudios de arte y estética","Samuel Ramos","1963","Aesthetics","Obra de Samuel Ramos, publicada en 1963."
"Recreación filosófica, ó Diálogo sobre la filosofía natural","Teodoro de Almeida (C.O.)","1803","Ficción","Obra de Teodoro de Almeida (C.O.), publicada en 1803."
"Obras de Fray Vicente Solano de la Orden de Menores en la República del Ecuador","Vicente Solano","1892","Spanish literature","Obra de Vicente Solano, publicada en 1892."
"The Encyclopedia of Philosophy","Paul Edwards","1967","Philosophy","Treats eastern & western philosophy; it deals with ancient, medieval and modern philosophy; and it discusses the theories of mathematicians, physicist, biologist, sociologists, psychologists, moral r…"
"Discursos leidos ante la Real Academia Sevillana de Buenas Letras, en las recepciones públicas de sus indivíduos","Manuel Héctor Abreu","1890","Spanish literature","Obra de Manuel Héctor Abreu, publicada en 1890."
"Estudios Jurídicos y Polt́icos","Francisco GINER DE LOS RÍOS (Professor.)","1875","Ficción","Obra de Francisco GINER DE LOS RÍOS (Professor.), publicada en 1875."
"La Reforma social","Orestes Ferrara","1915","Social sciences","Obra de Orestes Ferrara, publicada en 1915."
"La metafísica y la poesía","Ramón de Campoamor","1891","Metaphysics","Obra de Ramón de Campoamor, publicada en 1891."
"Colección legislativa de España ...","Spain","1903","Ficción","Obra de Spain, publicada en 1903."
"Diccionario universal de la lengua castellana","Nicolás María Serrano","1878","Encyclopedias and dictionaries, Spanish","Obra de Nicolás María Serrano, publicada en 1878."
"Bibliographia philosophiæ","G. A. de Brie","1954","Philosophy","Obra de G. A. de Brie, publicada en 1954."
"Filosofía y futuro","Richard Rorty","2010","Philosophy","Formado en la tradición de la filosofía analítica angloamericana y profundamente familiarizado con la filosofía centroeuropea, Rorty integra ambas corrientes de pensamiento en sus exploraciones del t…"
"Bibliographia Philosophica, 1934-1945: Bibliographia philosophiæ","G. A. de Brie","1954","Philosophy","Obra de G. A. de Brie, publicada en 1954."
"Filosofía para bufones","Pedro González Calero","2010","Social Science","Cuando un alfarero le preguntó a Sócrates si debía casarse o permanecer soltero, este respondió: ""Hagas lo que hagas te arrepentirás"". Cuando Diógenes fue hecho prisionero y puesto a la venta como es…"
"International Christian Literature Documentation Project","Douglas W. Geyer","1993","Religion","Obra de Douglas W. Geyer, publicada en 1993."
"Lecturas sobre el pensamiento jurídico y político de la Europa de las nacionalidades","Salvador Rus Rufino","2000","Political Science","Obra de Salvador Rus Rufino, publicada en 2000."
"Filosofía de la imagen","Ana GARCÍA VARAS","2011","Philosophy","Ideas e imágenes han sido, desde sus orígenes, el material de lo filosófico. Las imágenes son asimismo, y según una de las retóricas comunes, un núcleo central de la comunicación y la cultura actuale…"
"Recreacion filosófica ó Diálogo sobre la Filosofía Natural para instruccion de personas curiosas que no han frequentado las aulas","Teodoro de Almeida (C.O.)","1792","Ficción","Obra de Teodoro de Almeida (C.O.), publicada en 1792."
"Escritos postumos","Juan Bautista Alberdi","1900","Ficción","Obra de Juan Bautista Alberdi, publicada en 1900."
"Educacin̤ Y Cultura","Juan Comas","1940","Education","Obra de Juan Comas, publicada en 1940."
"La teoría de la referencia","Wenceslao J. González","1986","Philosophy","Obra de Wenceslao J. González, publicada en 1986."
"Formas de la eternidad","Max Colodro","2005","Eternity","Obra de Max Colodro, publicada en 2005."
"Recreación filosófica o Diálogo sobre la filosofía natural ..","Teodoro de Almeida","1785","Ficción","Obra de Teodoro de Almeida, publicada en 1785."
"Author - Title Catalog","University of California, Berkeley. Library","1963","Ficción","Obra de University of California, Berkeley. Library, publicada en 1963."
"Dios, palabra, realidad","José Luis Cabria Ortega","2008","Logos (Christian theology)","Obra de José Luis Cabria Ortega, publicada en 2008."
"El estudio de la filosofía de la ciencia","G. J. Whitrow","1987","Science","Obra de G. J. Whitrow, publicada en 1987."
"University of California Union Catalog of Monographs Cataloged by the Nine Campuses from 1963 Through 1967: Authors & titles","University of California (System). Institute of Library Research","1972","Library catalogs","Obra de University of California (System). Institute of Library Research, publicada en 1972."
"Filosofía de las ciencias","Andler, Daniel","2021","Science","Esta obra, más que tratar de una filosofía de la ciencia general, consiste, por un lado, en un análisis de los problemas que plantea la relación de la actividad científica con otras actividades human…"
"Movimientos filosóficos actuales","Luis Sáez Rueda","2001","Philosophy","Las corrientes del pensamiento actual han ido fraguando un espacio reticular, tejido al mismo tiempo por la afinidad y el desencuentro. Sin renunciar a una exposición sistemática y a una disposición…"
"Historia universal","Cesare Cantú","1875","Ficción","Obra de Cesare Cantú, publicada en 1875."
"Curso de filosofía elemental","Jaime Balmes","1899","Ficción","Obra de Jaime Balmes, publicada en 1899."
"Hacia una filosofía política crítica","Enrique D. Dussel","2001","Political Science","Dussel nos ofrece aquí sus más recientes contribuciones a la filosofía política. Como indica E. Mendieta en su estudio introductorio: “... la ética de la liberación tiene como complemento lógico y co…"
"El hombre y su pensamiento","Jesus A. Leon Castaneda","1984","Ensenanza de la filosofia","Obra de Jesus A. Leon Castaneda, publicada en 1984."
"Historia de la filosofía","Frederick Charles Copleston","1988","Ficción","Obra de Frederick Charles Copleston, publicada en 1988."
"Filosofía iberoamericana del siglo XX","Reyes Mate","2017","Philosophy","Con el volumen dedicado a la «Filosofía iberoamericana del siglo XX» concluye el proyecto editorial de la Enciclopedia Iberoamericana de Filosofía. Obedeciendo a una doble pretensión, práctica y teór…"
"Bibliografía Española contemporánea del derecho y de la política, 1800-1880","Manuel Torres Campos","1883","Ficción","Obra de Manuel Torres Campos, publicada en 1883."
"Ciencia y religión en la filosofía contemporánea","Emile Boutroux","1910","Filosofía y religión","Obra de Emile Boutroux, publicada en 1910."
"Filosofía a mano armada","Tibor Fischer","1997","Education","Eddie Coffin, profesor universitario y filosofo desencantado, depravado y borrachin, perseguido por la policia de su pais por un asunto mas bien hosco, llega a Francia, patria de Montaigne, pensador…"
"Actas del II Congreso Nacional de Filosofía Medieval","Sociedad de Filosofía Medieval","1996","Philosophy","Obra de Sociedad de Filosofía Medieval, publicada en 1996."
"Hombres y documentos de la filosofía española","Gonzalo Díaz Díaz","1980","Philosophy, Spanish","Obra de Gonzalo Díaz Díaz, publicada en 1980."
"Lógica","Laurence Goldstein","2008","Philosophy","(Casi) todas las personas están de acuerdo en que pensar lógicamente y razonar bien es bueno. Pero ¿qué es pensar lógicamente? ¿Qué es lo que distingue el buen razonamiento del malo? El presente libr…"
"Proposiciones relativas al porvenir de la filosofía","José Ingenieros","1918","Philosophy","Obra de José Ingenieros, publicada en 1918."
"Introducción a la filosofía de la ciencia","Marx W. Wartofsky","1987","Science","Obra de Marx W. Wartofsky, publicada en 1987."
"Los problemas de la filosofía","Bertrand Russell","1937","Philosophy","Obra de Bertrand Russell, publicada en 1937."
"Información bibliográfica actualizada de Filosofía","Profesores de Filosofía del Distrito Universitario de Alcalá de Henares. Grupo de Documentación","1991","Ficción","Obra de Profesores de Filosofía del Distrito Universitario de Alcalá de Henares. Grupo de Documentación, publicada en 1991."
"Filosofía del arte","Hippolyte Taine","1905","Aesthetics","Obra de Hippolyte Taine, publicada en 1905."
"El Estadista","Ambrosio L. Ramasso","2018","Philosophy","Excerpt from El Estadista: Notas para una Filosofía de la Vida Pública El prólogo de Daniel Martínez Vigil, que debía ocupar este lugar, ha sido necesario suprimirlo por razones acci dentales. La que…"
"Diccionario de Filosofía","José Ferrater Mora","2002","Ficción","Obra de José Ferrater Mora, publicada en 2002."
"Políticas de la filosofía","François Châtelet","1982","Philosophy","Los cinco ensayos filos ficos aqu presentados prefiguran el horizonte conceptual del hombre contempor neo cuyas preocupaciones se centran en la historia, la filosof a, la historia de la filosof a, la…"
"Diccionario general de Bibliografía española","Dionisio Hidalgo","1862","Spain","Obra de Dionisio Hidalgo, publicada en 1862."
"Geografia general del pais Vasco-Navarro","Francisco Carreras y Candi","1915","Basque Provinces","Obra de Francisco Carreras y Candi, publicada en 1915."
"LA MEDIDA DEL TEIDE","Juan Tous Meliá","2015","Science","Obra de Juan Tous Meliá, publicada en 2015."
"Diccionario general de bibliografía española: Índice de materias. 1881","Dionisio Hidalgo","1881","Spain","Obra de Dionisio Hidalgo, publicada en 1881."
"Biblioteca de Jorge Pombo","Jorge Pombo","1906","Colombia","Obra de Jorge Pombo, publicada en 1906."
"La Rosa","Juan Pérez de Guzmán","1891","Ficción","Obra de Juan Pérez de Guzmán, publicada en 1891."
"Catálogo metódico de la Biblioteca nacional: Historia y geografía (t. 2). 1925","Argentina. Biblioteca Nacional","1925","Latin America","Obra de Argentina. Biblioteca Nacional, publicada en 1925."
"Enrique Pinilla","Édgar Valcárcel","1999","Music","Obra de Édgar Valcárcel, publicada en 1999."
"Bibliografía puertorriqueña","José Géigel y Zenón","1934","Puerto Rican literature","Obra de José Géigel y Zenón, publicada en 1934."
"Boletín de la Real Academia de la Historia","Real Academia de la Historia (Spain)","1911","History","""Inventario de los libros que han tenido ingreso en la secretaría de la Real academía,"" 1922-29, with v. 83, 85, 87, 89, 91-92, 96, 99."
"Diccionario biográfico y bibliográfico de Colombia","Joaquín Ospina","1927","Colombia","Obra de Joaquín Ospina, publicada en 1927."
"Cancionero de la rosa","Juan Perez de Guzman","1891","Ficción","Obra de Juan Perez de Guzman, publicada en 1891."
"Bono: La Biografia","Laura Jackson","2003","Biography & Autobiography","The life, music and passions of Paul David Hewson, better known as Bono, who along with his school friends made up the legendary band U2, are detailed in this biography. Laura Jackson explores the su…"
"Camagüey, biografia de una provincia","Mary Cruz","1955","Camagüey (Cuba : Province)","Obra de Mary Cruz, publicada en 1955."
"Biografia del Cgo. Hon. D. David Luque, 1828-1892","Abel Bazan y Bustos","1922","Ficción","Obra de Abel Bazan y Bustos, publicada en 1922."
"Catálogo metódico de la Biblioteca nacional: Historia y geografía. 1900","Biblioteca Nacional (Argentina)","1900","Latin America","Obra de Biblioteca Nacional (Argentina), publicada en 1900."
"Catalogo metodico de la biblioteca nacional de la Republica Argentina","Biblioteca nacional","1900","Ficción","Obra de Biblioteca nacional, publicada en 1900."
"Intento de un diccionario biográfico y bibliográfico de autores de la provincia de Burgos","Manuel Martínez Añíbarro y Rives","1889","Ficción","Obra de Manuel Martínez Añíbarro y Rives, publicada en 1889."
"1er-3er suplemento al Catálogo de la biblioteca","Universidad Nacional Mayor de San Marcos. Biblioteca","1908","Ficción","Obra de Universidad Nacional Mayor de San Marcos. Biblioteca, publicada en 1908."
"Poesía vertical de Roberto Juarroz","Clea Rojas Freites","2008","Ficción","Obra de Clea Rojas Freites, publicada en 2008."
"Oraciones fúnebres de Jacobo Benigno Bossuet","Jacques Bénigne Bossuet","1911","Funeral sermons","Obra de Jacques Bénigne Bossuet, publicada en 1911."
"Los doce libros de agricultura de Lucio Junio Moderato Columela","Don Vincente Tinajero","1879","Ficción","Obra de Don Vincente Tinajero, publicada en 1879."
"Andrés Vesalio","Joaquín Olmedilla y Puig","1913","Ficción","Obra de Joaquín Olmedilla y Puig, publicada en 1913."
"Breve historia de Honduras","Rubén Barahona","1950","Honduras","Obra de Rubén Barahona, publicada en 1950."
"La emancipación latinoamericana","Instituto panamericano de geografía e historia. Comisión de historia. Comisión de orígines de la emancipación (Caracas).","1966","Ficción","Obra de Instituto panamericano de geografía e historia. Comisión de historia. Comisión de orígines de la emancipación (Caracas)., publicada en 1966."
"Oraciones fúnebres","Jacques Bénigne Bossuet","1914","Europe","Obra de Jacques Bénigne Bossuet, publicada en 1914."
"Boletín de la Biblioteca Nacional","Biblioteca Nacional (Peru)","1953","Libraries","Obra de Biblioteca Nacional (Peru), publicada en 1953."
"Boletín de historia y antigüedades","Academia Colombiana de Historia","1920","Colombia","Obra de Academia Colombiana de Historia, publicada en 1920."
"Catálogo de la Biblioteca municipal de Madrid","Biblioteca Municipal de Madrid","1902","Madrid (Spain)","Obra de Biblioteca Municipal de Madrid, publicada en 1902."
"Ensayo de un catálogo biográfico de escritores de la Provincia y Diócesis de Córdoba","Rafael Ramírez de Arellano","1921","Córdoba (Spain)","Obra de Rafael Ramírez de Arellano, publicada en 1921."
"Directory of Spanish and Portuguese Film-Makers and Films","Rafael de España","1994","Business & Economics","This new book catalogues some 215 prominent film directors from both countries, giving accurate bio-filmographies and providing an in-depth reference source. Full attention is given to the propaganda…"
"Pequeño Larousse ilustrado","Pierre Larousse","1914","Encyclopedias and dictionaries, Spanish","Obra de Pierre Larousse, publicada en 1914."
"Futuridad del Che","Luis Suárez Salazar","2000","History","Obra de Luis Suárez Salazar, publicada en 2000."
"Fuentes para el estudio del estado mexicano (1968-1988)","Jorge Cadena Roa","1989","Excavations (Archaeology)","Obra de Jorge Cadena Roa, publicada en 1989."
"Juan José Saer","Ilse Logie","2013","Comics & Graphic Novels","El escritor argentino Juan José Saer (1937-2005) ha dejado una de las obras más consistentes y consolidadas de la literatura hispanoamericana de la segunda mitad del siglo XX. Impresionante por la de…"
"Discursos","Universidad de Zaragoza","1888","Ficción","Obra de Universidad de Zaragoza, publicada en 1888."
"Historia de Nicaragua desde los tiempos prehistóricos hasta 1860","José Dolores Gámez","1889","Nicaragua","Obra de José Dolores Gámez, publicada en 1889."
"Coleccion legislativa completa de la Republica Mexicana con todas las disposiciones expedidas para la Federacion, el Distrito y los territorios federales","Mexico","1904","Ficción","Obra de Mexico, publicada en 1904."
"The Meaning of Experience in the Prose of Jorge Luis Borges","Ion Tudor Agheana","1988","Literary Criticism","The absence of metonymical emphasis in Borges' prose, of the «realism» promoted by XIXth-century writers, and the vaguely nihilistic tenor of XXth-century philosophy, have contributed to the opinion…"
"The Mexican Novel as a Reflection of the National Problems of Mexico ...","Howard True Wheeler","1934","Fiction, Mexican","Obra de Howard True Wheeler, publicada en 1934."
"Catálogo crítico de libros para niños, 1962-65","Acción Católica Española. Gabinete de Lectura Santa Teresa de Jesús","1967","Children's literature, Spanish","Obra de Acción Católica Española. Gabinete de Lectura Santa Teresa de Jesús, publicada en 1967."
"Catálogo de la biblioteca de la Real academia de ciencias y artes de Barcelona ...","Real Academia de Ciencias y Artes de Barcelona. Biblioteca","1913","Science","Obra de Real Academia de Ciencias y Artes de Barcelona. Biblioteca, publicada en 1913."
"Historia de España y su influencia en la historia universal","Antonio Ballesteros Beretta","1927","Spain","Obra de Antonio Ballesteros Beretta, publicada en 1927."
"Bolívar","Jorge Newton","1968","Ficción","Obra de Jorge Newton, publicada en 1968."
"Historia constitucional de la República Argentina","Emilio Ravignani","1927","Argentina","Obra de Emilio Ravignani, publicada en 1927."
"General Catalogue of Printed Books","British Museum. Dept. of Printed Books","1959","English imprints","Obra de British Museum. Dept. of Printed Books, publicada en 1959."
"A Bibliography of Virginia Woolf","Brownlee Jean Kirkpatrick","1980","Biography & Autobiography","This book, enormously expanded by the inclusion of new items that have appeared since the Third Edition of 1980, describes all of Virginia Woolf's publications: books, pamphlets, articles (including…"
"Anales","Museo Nacional de Antropología (Mexico)","1907","Ethnology","Obra de Museo Nacional de Antropología (Mexico), publicada en 1907."
"Dictionary Catalog of the History of the Americas","New York Public Library. Reference Department","1961","America","Obra de New York Public Library. Reference Department, publicada en 1961."
"La biblioteca del Marques de Santa Cruz","Joaquín de la Llave y García","1885","Ficción","Obra de Joaquín de la Llave y García, publicada en 1885."
"Escritos póstumos","Juan Bautista Alberdi","1897","Argentina","Obra de Juan Bautista Alberdi, publicada en 1897."
"Obras de d. Jose Cecilio del Valle","José Cecilio del Valle","1914","Central America","Obra de José Cecilio del Valle, publicada en 1914."
"Cervantes, Vascófile","Julian Apraiz","1899","Ficción","Obra de Julian Apraiz, publicada en 1899."
"Literatura militar española","Francisco Barado y Font","1890","Military art and science","Obra de Francisco Barado y Font, publicada en 1890."
"Gente","María José de la Fuente","2007","Spanish language","Obra de María José de la Fuente, publicada en 2007."
"Historiografia Paraguaya","Efraim Cardozo","1959","Ficción","Obra de Efraim Cardozo, publicada en 1959."
"A Holy Alliance","Connie L. Scarborough","2009","Biography & Autobiography","Obra de Connie L. Scarborough, publicada en 2009."
"Estudios Eruditos in Memoriam de Adolfo Bonilla Y San Martin (1875-1926)","Madrid. Universidad central de Espana. Facultad de filosofia y letras","1930","Ficción","Obra de Madrid. Universidad central de Espana. Facultad de filosofia y letras, publicada en 1930."
"The State, Bureaucracy, and Politics","Sheryl Lutjens","1987","Bureaucracy","Obra de Sheryl Lutjens, publicada en 1987."
"Manual Que Acompaña ¿Qué Te Parece? Intermediate Spanish. Segunda Parte","James F. Lee","2000","Foreign Language Study","Que te parece? is an exciting and innovative new program suitable for any communicative or proficiency-based intermediate Spanish course. Both the grammar and the activities are driven by the content…"
"Alternate Voices in the Contemporary Latin American Narrative","David William Foster","1985","Literary Criticism","The chapters in this volume are contributions toward a reassessment of contemporary Latin American writing and are based on the strategy of willfully imposing a perspective at radical variance with t…"
"Revista de la Junta de Estudios Históricos de Mendoza","Junta de Estudios Históricos de Mendoza (Argentina)","1938","Cuyo (Argentina)","Obra de Junta de Estudios Históricos de Mendoza (Argentina), publicada en 1938."
"Biographical Dictionaries and Related Works","Robert B. Slocum","1986","Biography","Obra de Robert B. Slocum, publicada en 1986."
"Valdés Leal","Elizabeth du Gué Trapier","1960","Art, Spanish","Obra de Elizabeth du Gué Trapier, publicada en 1960."
"Bibliografía médica venezolana","Ricardo Archila","1955","Medicine","Obra de Ricardo Archila, publicada en 1955."
